Using cuda device
Wrapping the env with a `Monitor` wrapper
Wrapping the env in a DummyVecEnv.
Logging to logs/PPO-1756033440/ppo_cant_stop_0
--------------------------------------
| custom/                 |          |
|    max_turn_per_episode | 12       |
| rollout/                |          |
|    ep_len_mean          | 30.5     |
|    ep_rew_mean          | -447     |
| time/                   |          |
|    fps                  | 530      |
|    iterations           | 1        |
|    time_elapsed         | 3        |
|    total_timesteps      | 2048     |
--------------------------------------
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 18          |
| rollout/                |             |
|    ep_len_mean          | 32.7        |
|    ep_rew_mean          | -468        |
| time/                   |             |
|    fps                  | 491         |
|    iterations           | 2           |
|    time_elapsed         | 8           |
|    total_timesteps      | 4096        |
| train/                  |             |
|    approx_kl            | 0.013072159 |
|    clip_fraction        | 0.134       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.74       |
|    explained_variance   | -0.000164   |
|    learning_rate        | 0.0003      |
|    loss                 | 1.6e+04     |
|    n_updates            | 10          |
|    policy_gradient_loss | -0.0207     |
|    value_loss           | 3.63e+04    |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 19          |
| rollout/                |             |
|    ep_len_mean          | 34.4        |
|    ep_rew_mean          | -434        |
| time/                   |             |
|    fps                  | 479         |
|    iterations           | 3           |
|    time_elapsed         | 12          |
|    total_timesteps      | 6144        |
| train/                  |             |
|    approx_kl            | 0.007866323 |
|    clip_fraction        | 0.0369      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.69       |
|    explained_variance   | 0.000601    |
|    learning_rate        | 0.0003      |
|    loss                 | 2.24e+04    |
|    n_updates            | 20          |
|    policy_gradient_loss | -0.0122     |
|    value_loss           | 4.22e+04    |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 20          |
| rollout/                |             |
|    ep_len_mean          | 36.4        |
|    ep_rew_mean          | -426        |
| time/                   |             |
|    fps                  | 472         |
|    iterations           | 4           |
|    time_elapsed         | 17          |
|    total_timesteps      | 8192        |
| train/                  |             |
|    approx_kl            | 0.010300597 |
|    clip_fraction        | 0.096       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.65       |
|    explained_variance   | 0.000191    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.36e+04    |
|    n_updates            | 30          |
|    policy_gradient_loss | -0.0161     |
|    value_loss           | 3.08e+04    |
-----------------------------------------
[HB] 10000 steps...
----------------------------------------
| custom/                 |            |
|    max_turn_per_episode | 13         |
| rollout/                |            |
|    ep_len_mean          | 37.2       |
|    ep_rew_mean          | -387       |
| time/                   |            |
|    fps                  | 463        |
|    iterations           | 5          |
|    time_elapsed         | 22         |
|    total_timesteps      | 10240      |
| train/                  |            |
|    approx_kl            | 0.01021762 |
|    clip_fraction        | 0.0765     |
|    clip_range           | 0.2        |
|    entropy_loss         | -1.62      |
|    explained_variance   | 0.000116   |
|    learning_rate        | 0.0003     |
|    loss                 | 1.47e+04   |
|    n_updates            | 40         |
|    policy_gradient_loss | -0.0158    |
|    value_loss           | 3.05e+04   |
----------------------------------------
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 10          |
| rollout/                |             |
|    ep_len_mean          | 36.8        |
|    ep_rew_mean          | -345        |
| time/                   |             |
|    fps                  | 462         |
|    iterations           | 6           |
|    time_elapsed         | 26          |
|    total_timesteps      | 12288       |
| train/                  |             |
|    approx_kl            | 0.007917571 |
|    clip_fraction        | 0.0621      |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.59       |
|    explained_variance   | 2.47e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 1.03e+04    |
|    n_updates            | 50          |
|    policy_gradient_loss | -0.0165     |
|    value_loss           | 3.01e+04    |
-----------------------------------------
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 12          |
| rollout/                |             |
|    ep_len_mean          | 37.5        |
|    ep_rew_mean          | -296        |
| time/                   |             |
|    fps                  | 461         |
|    iterations           | 7           |
|    time_elapsed         | 31          |
|    total_timesteps      | 14336       |
| train/                  |             |
|    approx_kl            | 0.010570991 |
|    clip_fraction        | 0.089       |
|    clip_range           | 0.2         |
|    entropy_loss         | -1.55       |
|    explained_variance   | 3.27e-05    |
|    learning_rate        | 0.0003      |
|    loss                 | 7.49e+03    |
|    n_updates            | 60          |
|    policy_gradient_loss | -0.0191     |
|    value_loss           | 2.26e+04    |
-----------------------------------------
------------------------------------------
| custom/                 |              |
|    max_turn_per_episode | 11           |
| rollout/                |              |
|    ep_len_mean          | 38           |
|    ep_rew_mean          | -302         |
| time/                   |              |
|    fps                  | 460          |
|    iterations           | 8            |
|    time_elapsed         | 35           |
|    total_timesteps      | 16384        |
| train/                  |              |
|    approx_kl            | 0.0057485057 |
|    clip_fraction        | 0.0333       |
|    clip_range           | 0.2          |
|    entropy_loss         | -1.56        |
|    explained_variance   | 5.07e-05     |
|    learning_rate        | 0.0003       |
|    loss                 | 1.46e+04     |
|    n_updates            | 70           |
|    policy_gradient_loss | -0.0136      |
|    value_loss           | 1.97e+04     |
------------------------------------------
-----------------------------------------
| custom/                 |             |
|    max_turn_per_episode | 18          |
| rollout/                |             |
|    ep_len_mean          | 37.5        |
|    ep_rew_mean          | -298        |
| time/                   |             |
|    fps                  | 459         |
